Fecha;PM10;PM2-5;Velocidad;Precipitacion;Dirección;O3;CO;NO;NO2;NOX;SO2;T;Radiación ;HR
13-06-2023;32,3;15;2,3;0;356;18,7;0,7;53,9;17,9;71,8;1,4;20;0;0
14-06-2023;14,9;10;2,7;0,7;238;17,7;0,4;13,7;9,7;23,4;0,7;16,4;0;0
15-06-2023;44,6;38;3,7;0,1;324;16,8;0,4;11,2;9,9;21,1;1,2;16,3;0;0
16-06-2023;17,8;9;3,3;0;185;16;0,7;22;18,8;40,8;0,9;15,8;0;0
17-06-2023;17,6;8;4,6;0,3;187;15;0,2;6,1;4,7;9,8;0,5;17,3;0;0
18-06-2023;10,5;6;3,3;0;287;15,6;0,3;3;6,4;8,1;0,5;15,2;0;0
19-06-2023;10,2;6;3,3;0,1;300;12,8;0,3;4,8;5,3;10;0,5;17,5;0;0
20-06-2023;22;8;3,2;0;341;12,2;0,4;16;7,8;23,8;0,6;17,4;0;0
21-06-2023;16,6;10;4,2;0;224;12,6;0,3;11,6;7,5;19;0,7;18,1;0;0
22-06-2023;13,9;9;3,9;0,1;354;13,1;0,6;30,1;9,9;40;0,9;18,3;0;0
23-06-2023;51,2;5;2,6;0;341;16,6;1;33,9;29,1;58,8;0,8;19,9;0;0
24-06-2023;50,4;0;5,6;0;350;19,3;0,8;18,9;25,8;42,9;0,9;20,2;0;0
25-06-2023;10,9;0;3,6;0,3;250;19,1;0,4;7,8;8,8;16,6;0,3;17,9;0;0
26-06-2023;17,1;12;4;0,3;359;19,5;0,3;3,2;5,6;8;0,4;18,8;0;0
27-06-2023;18,6;7;4;0;347;17,5;0,3;15,2;14,6;29,8;0,4;20,2;0;0
28-06-2023;14,9;8;4,1;0;349;0;0,4;8,7;7,5;16,2;0,4;19,4;0;0
29-06-2023;23,7;11;3,4;0;187;0;0,3;6,5;5;11,3;0,4;19,1;0;0
30-06-2023;17,3;7;3,2;0;200;0;0,3;6;6,6;12,6;0,4;17,7;0;0
01-07-2023;16,4;9;3,2;0;259;0;0,3;3,8;4,1;6,8;0,4;17,5;0;0
02-07-2023;19,9;12;2,9;4,8;355;0;0,5;11;12;19,5;0,5;18,5;0;0
03-07-2023;29,6;19;2,9;0;354;0;0,7;30,8;17,5;39,5;0,9;19,1;0;0
04-07-2023;29,8;16;3,3;0,6;349;0;0,9;50;16,4;62,5;0,9;20,3;0;0
05-07-2023;30,6;8;2,7;0;360;0;1;37,7;24,1;61,8;0,8;18,8;0;0
06-07-2023;22,5;7;3,9;0;186;13,5;0,4;11;7,5;18,6;0,4;19,8;0;0
07-07-2023;34,2;22;3,2;0,1;358;15,9;1,3;77,9;22,8;93,8;1,1;19,4;0;0
08-07-2023;29,3;21;2,8;1;354;18,1;0,9;26,3;22,2;41,7;0,5;17,4;0;0
09-07-2023;11;8;3;0;339;21,8;0,4;7,1;8,4;15,6;0,3;16,8;0;0
10-07-2023;15,2;14;2,6;1,3;359;22,3;0,4;6,7;11,2;16,5;0,4;17,6;0;0
11-07-2023;24;18;2,7;0;354;21;0,5;13,3;13,3;25,9;0,5;16,3;0;0
12-07-2023;22;13;2,9;0;348;20,6;0,7;32,7;17,4;50,2;0,7;17,8;0;0
13-07-2023;21,1;10;2,9;0,6;353;22,5;0,4;11,9;12;23,9;0,5;20,2;0;0
14-07-2023;22,3;18;3;6,9;354;17;1;38;17,5;55,5;0,8;16,6;0;0
15-07-2023;18,1;18;3,1;0;191;19,2;0,7;16;9,7;25,7;0,8;18,8;0;0
16-07-2023;11,5;8;3;1,6;200;18,9;0,4;3,6;8,4;11,3;0,7;18,9;0;0
17-07-2023;17,9;10;3,1;0,2;358;20;0,7;23,7;12,3;36;0,9;18;0;0
18-07-2023;25;10;4,1;0,1;327;23,9;0,3;5,7;7,1;12,3;0,7;15,9;0;0
19-07-2023;17,4;11;3,8;0,9;355;20,3;0,4;8,5;8,5;16,9;0,7;15,3;0;0
20-07-2023;15,7;8;3,4;0,1;333;20,8;0,3;3,1;7,4;10,4;0,7;17,8;0;0
21-07-2023;16,4;8;3,6;0,5;252;18,9;0,5;11,2;9,8;20,1;0,8;15,8;0;0
22-07-2023;18,8;14;3,4;0;207;21,4;0,4;5;6,7;10,1;0,4;15,7;0;0
23-07-2023;15,7;11;4,4;0;187;21,5;0,3;2,7;5,8;8;0,3;18,1;0;0
24-07-2023;23,3;8;2,7;0;359;19,5;0,6;22,3;12,1;34,4;0,6;19,1;0;0
25-07-2023;35,5;17;2,9;0;352;19,6;0,7;23,4;20,1;39;0,6;19,3;0;0
26-07-2023;62;40;3,1;0;357;37,5;1,5;71,7;40;89,9;1,3;19,7;0;0
27-07-2023;19,1;11;3,9;2,8;357;22,2;0,7;17,9;10,9;28,4;0,5;19,2;0;0
28-07-2023;17,9;7;3,1;0;183;20,4;0,4;7,2;7,9;13;0,6;18,8;0;0
29-07-2023;14,7;9;3,5;0,1;339;20,7;0,3;4,7;5,8;9,8;0,6;17,6;0;0
30-07-2023;12,5;11;5,7;0;191;24,3;0,3;3,3;2,8;5,5;0,5;16,6;0;0
31-07-2023;17,8;7;4,2;1;250;21,2;0,3;6;4,9;9,6;0,5;16,5;0;0
01-08-2023;16,1;9;3,6;0,3;209;30,2;0,4;7,7;8;15,7;0,5;15,3;0;0
02-08-2023;19,6;9;2,9;0,6;326;29,2;0,4;7;8,9;15,9;0,5;17,2;0;0
03-08-2023;27,4;11;2,7;0,2;345;25,7;0,8;26,9;15,8;42,7;0,7;18,2;0;0
04-08-2023;22,3;16;4,6;0;185;27,9;0,5;11,6;16,4;28;0,8;19;0;0
05-08-2023;19,8;8;3,3;2,5;280;26;0,9;28,1;19,7;47,8;1;17,4;0;0
06-08-2023;15,7;10;2,6;0,9;359;20,3;0,4;0,4;3,9;4,3;0,5;16,9;0;0
07-08-2023;11,5;8;3,5;0,5;360;19,7;0,3;4,9;12,4;13,8;0,5;16,4;0;0
08-08-2023;24,7;13;2,6;0;341;25,2;0,7;25,7;14,3;40;0,7;16,8;0;0
09-08-2023;25,7;16;3,4;1,2;258;25,1;1,1;40,4;21,9;61,9;1;16,6;0;0
10-08-2023;68,9;31;4,6;0;352;23,9;1,5;123,9;28,9;149,7;2,6;20,4;0;0
11-08-2023;27,7;18;2,8;0,9;354;21,1;0,9;30,7;18,3;49;2,2;16,1;0;0
12-08-2023;26,2;9;2,9;0,1;346;28,3;0,5;18,1;13;31,1;2,1;17,9;0;0
13-08-2023;15,7;11;3,5;0;355;30;0,2;0,9;5,3;6,2;1;15,9;0;0
14-08-2023;27,4;10;2;2;349;24,6;0,7;33;14,6;47,6;1,6;19,9;0;0
15-08-2023;20,6;20;2,2;0,4;357;22,1;0,8;29,7;19,4;49,1;1,2;18,9;0;0
16-08-2023;26,2;15;3,8;0;163;20,9;0,4;12,6;9,3;21,9;0,8;19,2;0;0
17-08-2023;35;11;3,3;0;329;18,9;0,6;25,2;20;37,9;0,4;19,8;0;0
18-08-2023;75,2;32;1,6;0,3;359;30,5;1,7;112,5;37,9;134,1;1,5;20,3;0;0
19-08-2023;57,3;37;2,1;0;360;41,4;1,2;32,9;30,4;61,2;0,7;20,3;0;0
20-08-2023;32,5;24;7;31,7;350;42,1;0,6;8;18,8;22,1;0,5;20,2;0;0
21-08-2023;25,4;13;4,2;9,5;296;23,5;0,6;8,6;14,2;18,8;0,3;19,8;0;0
22-08-2023;38,8;16;3,8;2;359;22,4;0,4;7;11,7;18,8;0,3;17,4;0;0
23-08-2023;24,3;10;3,6;0;179;34;0,5;16,4;12,9;29,3;0,4;19,7;0;0
24-08-2023;24;12;3;0;341;28,4;0,4;11,2;13,8;25;0,4;18,6;0;0
25-08-2023;23,9;16;3,4;1,6;286;28,4;0,6;11,8;16,7;27,4;1;18,3;0;0
26-08-2023;41,3;21;5,6;0;360;41,5;1,1;43,2;20,2;62,2;1,8;20,6;0;0
27-08-2023;41;20;4,4;0;336;36,7;0,7;14,8;19,8;33,3;1,4;19,4;0;0
28-08-2023;36;18;4,7;0;194;32,7;0,8;22,8;21,8;44,6;0,8;18,7;0;0
29-08-2023;37,7;19;2,8;0;353;29,6;0,9;30,6;22,9;53,5;0,9;19,4;0;0
30-08-2023;23,3;16;4;0;185;29;0,4;4,9;8,4;12,6;0,5;17,1;0;0
31-08-2023;24,4;18;3,7;0;321;30,8;0,4;7,2;10,6;17,7;0,5;18,6;0;0
01-09-2023;33,6;21;3,2;0;250;29,2;0,8;30,6;15,4;46,1;0,9;20,3;0;0
02-09-2023;50,6;17;2,8;0;359;31,1;1,1;26,6;40,1;47;1,5;20,3;0;0
03-09-2023;35,1;19;3,5;0;345;31,3;1;28,5;26,3;50,4;0,9;18,9;0;0
04-09-2023;17,9;11;3,4;0;300;34;0,4;5,4;9,4;13,5;0,5;17,3;0;0
05-09-2023;22,8;11;4,1;0;214;27,6;0,5;7,3;10,6;17,4;0,5;17,6;0;0
06-09-2023;25,2;16;3,3;0;249;32,1;0,4;9,3;10;18,6;0,5;18,5;0;0
07-09-2023;35,5;15;3,1;0;331;27,6;0,5;15;18,2;33,2;0,8;16,8;0;0
08-09-2023;90,7;42;2,7;0;352;38,3;1,9;102,8;42,1;144,8;3,6;17,6;0;0
09-09-2023;32,3;16;3,9;0;355;26,5;1;31,8;17;48,8;1,2;18,7;0;0
10-09-2023;17,2;9;3,5;2,7;355;28,8;0,4;3,6;12,6;15,4;1,3;16,7;0;0
11-09-2023;28,4;6;5;0,1;188;28,6;0,7;24,5;19,1;43;1,1;18,9;0;0
12-09-2023;60,6;28;3,7;0;333;23,2;1,7;99,5;29,3;125,7;2,9;18,2;0;0
13-09-2023;80,4;38;3,6;0;336;24,9;1,9;134,6;25;159,6;3,6;18,9;0;0
14-09-2023;19,6;14;2,7;0,4;259;28;0,5;7,3;12,2;17,5;0,8;16,7;0;0
15-09-2023;26;10;3,4;0;242;31,8;0,5;9,1;17,7;26,7;0,8;17,9;0;0
16-09-2023;37;21;3,4;0;337;32,5;1,1;40,6;24,2;64,2;1,7;18,6;0;0
17-09-2023;30,9;19;3,2;0;347;32,5;0,7;12,3;20,4;32,6;1;16;0;0
18-09-2023;34,6;26;3,7;0;352;32,4;0,6;8,5;13,8;22,2;0,8;15;0;0
19-09-2023;45,5;21;2,8;0;323;32,9;1;34,3;26,8;60,7;1,3;16;0;0
20-09-2023;69,9;36;2,9;0;338;34,2;1,5;87,3;36,6;124;2,6;17;0;0
21-09-2023;36,5;23;3,7;0;359;38,3;0,8;48,2;28,8;65,7;1,4;20,9;0;0
22-09-2023;88,2;43;4,1;4;359;34,3;2;135,7;37,7;165,7;4,2;22,6;0;0
